letter,language,coverage,title,id,file
A,"Amuzgo, Guerrero",New Testament,Ñʼoom xco na tqueⁿ tyʼo̱o̱tsʼom cantxja ʼnaaʼ Jesucristo,amuNT,"A/Amuzgo, Guerrero/New Testament — Ñʼoom xco na tqueⁿ tyʼo̱o̱tsʼom cantxja ʼnaaʼ Jesucristo.pdf"
A,"Amuzgo, San Pedro Amuzgos",New Testament,Jnʼoon xco na tquen tyoʼtsʼon,azgNT,"A/Amuzgo, San Pedro Amuzgos/New Testament — Jnʼoon xco na tquen tyoʼtsʼon.pdf"
A,Aneme Wake,New Testament,GODINU IRAU WAKE,aby,A/Aneme Wake/New Testament — GODINU IRAU WAKE.pdf
A,Angaataha,New Testament,Autaahaatɨhomɨ Pɨwɨha Gaaha Wanɨha,agm,A/Angaataha/New Testament — Autaahaatɨhomɨ Pɨwɨha Gaaha Wanɨha.pdf
A,Angor,New Testament,Godɨndɨ Hoafɨ,agg,A/Angor/New Testament — Godɨndɨ Hoafɨ.pdf
A,Anindilyakwa,Portions,Anindilyakwa Bible,aoi,A/Anindilyakwa/Portions — Anindilyakwa Bible.pdf
A,Aninka,Portions,Aninka NT Portion,aqk,A/Aninka/Portions — Aninka NT Portion.pdf
A,Anjam,New Testament,Yesus Aqa Anjam Bole 2000,boj,A/Anjam/New Testament — Yesus Aqa Anjam Bole 2000.pdf
A,Anjam,New Testament,Yesus Aqa Anjam Bole 2014 + Qotei qa Lou,boj2014,A/Anjam/New Testament — Yesus Aqa Anjam Bole 2014 + Qotei qa Lou.pdf
A,Ankave,New Testament,Xwɨyí̵á Gorɨxoyá Sɨŋí̵pɨrɨnɨ,aak,A/Ankave/New Testament — Xwɨyí̵á Gorɨxoyá Sɨŋí̵pɨrɨnɨ.pdf
A,Anmatyerre,Portions,Anmatyerr Bible,amx,A/Anmatyerre/Portions — Anmatyerr Bible.pdf
A,Anuki,Portions,Buk Baibel long Anuki,aui,A/Anuki/Portions — Buk Baibel long Anuki.pdf
A,"Apache, Western",New Testament,The New Testament of our Lord and Saviour Jesus Christ,apwNT,"A/Apache, Western/New Testament — The New Testament of our Lord and Saviour Jesus Christ.pdf"
A,Apal,New Testament,Asɨ dɨ manasɨŋ,ena,A/Apal/New Testament — Asɨ dɨ manasɨŋ.pdf
A,Apinayé,New Testament,Tĩrtũm kapẽr ã kagà nyw,apnNT,A/Apinayé/New Testament — Tĩrtũm kapẽr ã kagà nyw.pdf
A,Apma,Portions,Jona,app,A/Apma/Portions — Jona.pdf
A,Apurinã,New Testament,Teoso sãkire amaneri,apuNT,A/Apurinã/New Testament — Teoso sãkire amaneri.pdf
A,Arabela,New Testament,Quiarinio pueyaso rupaa pa jiyaniijia Jesucristojiniji pueyano rupaajinia,arlNT,A/Arabela/New Testament — Quiarinio pueyaso rupaa pa jiyaniijia Jesucristojiniji pueyano rupaajinia.pdf
A,Arabic,Full Bible,الكتاب المقدس باللغة العربية، فان دايك,arb-vd,A/Arabic/Full Bible — الكتاب المقدس باللغة العربية، فان دايك.pdf
A,"Arabic, Standard",Full Bible,Ketab El Hayat Majani/كتاب الحياة مجانى,arbnav,"A/Arabic, Standard/Full Bible — Ketab El Hayat Majani كتاب الحياة مجانى.pdf"
A,"Arabic, Sudanese Creole",Portions,Kitab al Mukadas ma Arabi Juba,pga,"A/Arabic, Sudanese Creole/Portions — Kitab al Mukadas ma Arabi Juba.pdf"
A,"Arabic, Tunisian Spoken",New Testament,العهد الجديد بالدارجة التونسية 2022,aeu,"A/Arabic, Tunisian Spoken/New Testament — العهد الجديد بالدارجة التونسية 2022.pdf"
A,Arapaho,Portions,Hethadenee waunauyaunee vadan Luke Vanenāna,arp,A/Arapaho/Portions — Hethadenee waunauyaunee vadan Luke Vanenāna.pdf
A,Arapesh,New Testament,IRUHIN ANANIN BARAEN,aon,A/Arapesh/New Testament — IRUHIN ANANIN BARAEN.pdf
A,Are,Portions,God Wonana Kaoaobaisiyena,mwc,A/Are/Portions — God Wonana Kaoaobaisiyena.pdf
A,Armãneashti Arumanisht,Portions,Biblija tu limba Rrãmãnã,rup,A/Armãneashti Arumanisht/Portions — Biblija tu limba Rrãmãnã.pdf
A,Arop-Lokep,New Testament,Rau Ke Maro,apr,A/Arop-Lokep/New Testament — Rau Ke Maro.pdf
A,Arosi,New Testament,Taroha Goro mana Usuusu Maea,aia,A/Arosi/New Testament — Taroha Goro mana Usuusu Maea.pdf
A,"Arrarnta, Western",New Testament,Altjirraka angkatja - Arrarnturna kngartiwukala,are,"A/Arrarnta, Western/New Testament — Altjirraka angkatja - Arrarnturna kngartiwukala.pdf"
A,"Arrernte, Eastern",New Testament,Angkentye Mwerre,aer,"A/Arrernte, Eastern/New Testament — Angkentye Mwerre.pdf"
A,Aruamu,New Testament,Godɨn Akar Aghuim; Akar Dɨkɨrɨzir Gavgavir Igiam,msy,A/Aruamu/New Testament — Godɨn Akar Aghuim; Akar Dɨkɨrɨzir Gavgavir Igiam.pdf
A,Aruamu,Full Bible,Godɨn Eghaghanim: Akar Gavgavir Dɨkɨrɨzir Ghurim ko Igiam,msy2020,A/Aruamu/Full Bible — Godɨn Eghaghanim Akar Gavgavir Dɨkɨrɨzir Ghurim ko Igiam.pdf
A,Asháninka,New Testament,Irineane tasorentsi oquenquetsatacotaqueri Avincatsarite Jesoquirishito,cniNT,A/Asháninka/New Testament — Irineane tasorentsi oquenquetsatacotaqueri Avincatsarite Jesoquirishito.pdf
A,Ashéninka Pajonal,New Testament,Iwaperite tajorentsi ikenkithatakoetziri awinkatharite Jesokirishito: owakirari inimotakiri tajorentsi,cjoNT,A/Ashéninka Pajonal/New Testament — Iwaperite tajorentsi ikenkithatakoetziri awinkatharite Jesokirishito owakirari inimotakiri tajorentsi.pdf
A,"Ashéninka, Pichis",New Testament,KAMEETHARI ÑAANTSI: Iñaaventaitzirira Avinkatharite Jesucristo,cpuNT,"A/Ashéninka, Pichis/New Testament — KAMEETHARI ÑAANTSI Iñaaventaitzirira Avinkatharite Jesucristo.pdf"
A,"Ashéninka, South Ucayali",New Testament,Las Escrituras en Ashéninka Ucayali del Sur del Perú,cpy,"A/Ashéninka, South Ucayali/New Testament — Las Escrituras en Ashéninka Ucayali del Sur del Perú.pdf"
A,"Ashéninka, Ucayali-yurúa",New Testament,Kameethari Ñaantsi: ikenkitha-takoitziri awinkatharite Jesucristo; Owakerari aapatziya-wakagaantsi,cpbNT,"A/Ashéninka, Ucayali-yurúa/New Testament — Kameethari Ñaantsi ikenkitha-takoitziri awinkatharite Jesucristo; Owakerari aapatziya-wakagaantsi.pdf"
A,Assamese,Full Bible,ইণ্ডিয়ান ৰিভাইচ ভাৰচন (IRV) আচামিচ - 2019,asmfb,A/Assamese/Full Bible — ইণ্ডিয়ান ৰিভাইচ ভাৰচন (IRV) আচামিচ - 2019.pdf
A,Assyrian Neo-Aramaic,New Testament,ܕܝܬܩܐ ܚܕܬܐ ܕܡܪܢ ܝܫܘܥ ܡܫܝܚܐ ܘܡܙܡܘܪ̈ܐ ܒܠܫܢܐ ܐܬܘܪܝܐ,aii,A/Assyrian Neo-Aramaic/New Testament — ܕܝܬܩܐ ܚܕܬܐ ܕܡܪܢ ܝܫܘܥ ܡܫܝܚܐ ܘܡܙܡܘܪ̈ܐ ܒܠܫܢܐ ܐܬܘܪܝܐ.pdf
A,"Atta, Pamplona",New Testament,Yù bilin ni Namarò nga meyannung kâ Apu Kesu Kiristu: Yù bagu nga tarátu ni Namarò sù ira nga mangikatalà kâ Apu Kesu Kiristu,att,"A/Atta, Pamplona/New Testament — Yù bilin ni Namarò nga meyannung kâ Apu Kesu Kiristu Yù bagu nga tarátu ni Namarò sù ira nga mangikatalà kâ Apu Kesu Kir.pdf"
A,Au,New Testament,Hɨm Yaaim Me God,avt,A/Au/New Testament — Hɨm Yaaim Me God.pdf
A,Awa,New Testament,Manikáne O Ehwehne,awb,A/Awa/New Testament — Manikáne O Ehwehne.pdf
A,Awa-Cuaiquer,New Testament,Masas Pit Jesucristowa,kwi,A/Awa-Cuaiquer/New Testament — Masas Pit Jesucristowa.pdf
A,Awabakal,Portions,EUANGELION UNNI TA JESU-ÚBA CHRIST-KO-BA UPATOARA LUKA-UMBA,awk,A/Awabakal/Portions — EUANGELION UNNI TA JESU-ÚBA CHRIST-KO-BA UPATOARA LUKA-UMBA.pdf
A,Awara,Portions,Awara Baibel,awx,A/Awara/Portions — Awara Baibel.pdf
A,Awiyaana,New Testament,Aú-aai símai kááísamakain-aai,auy,A/Awiyaana/New Testament — Aú-aai símai kááísamakain-aai.pdf
A,"Ayta, Ambala",Portions,Ayta Ambala NT Portions,abc,"A/Ayta, Ambala/Portions — Ayta Ambala NT Portions.pdf"
A,"Ayta, Mag-antsi",New Testament,Ya habi ni apo namalyari: Bayon tsipan - Ayta Mag-antsi,sgb,"A/Ayta, Mag-antsi/New Testament — Ya habi ni apo namalyari Bayon tsipan - Ayta Mag-antsi.pdf"
A,"Azerbaijani, South",Full Bible,Azərbaycan dilində Müqəddəs Kitab,azb,"A/Azerbaijani, South/Full Bible — Azərbaycan dilində Müqəddəs Kitab.pdf"
A,’Auhelawa,New Testament,Yaubada Yana Walo Yemidi Vauvauna,kud2014,A/’Auhelawa/New Testament — Yaubada Yana Walo Yemidi Vauvauna.pdf
B,Baatonum,Full Bible,Bibeli Gusunɔn Gari,bba,B/Baatonum/Full Bible — Bibeli Gusunɔn Gari.pdf
B,Baeggu,New Testament,Na Alangaia Falu 'ana Baea 'i Baegu,bvd,B/Baeggu/New Testament — Na Alangaia Falu 'ana Baea 'i Baegu.pdf
B,Baga Sitemu,Portions,Kitabu ka Kanu,bsp,B/Baga Sitemu/Portions — Kitabu ka Kanu.pdf
B,Baikeno,Portions,Naꞌ Markus,bkx,B/Baikeno/Portions — Naꞌ Markus.pdf
B,Baiso,Portions,Ammato Oɂusub,bswl,B/Baiso/Portions — Ammato Oɂusub.pdf
B,Baiso,New Testament,አማቶ ኦኡሱብ,bswe,B/Baiso/New Testament — አማቶ ኦኡሱብ.pdf
B,Bakairí,New Testament,Deus Itaumbyry,bkqNT,B/Bakairí/New Testament — Deus Itaumbyry.pdf
B,Baki,New Testament,Verikariano Vou Na Baki,bki,B/Baki/New Testament — Verikariano Vou Na Baki.pdf
B,Balangao,New Testament,Hen alen Apudyus,blw,B/Balangao/New Testament — Hen alen Apudyus.pdf
B,Balantak,New Testament,Kitap molinas men ringkat na alaata'ala: perjanjian baru,blzNT,B/Balantak/New Testament — Kitap molinas men ringkat na alaata'ala perjanjian baru.pdf
B,Bambam,New Testament,Suha' Maseho: Kadadiam anna Pa'dandiam Bakahu,ptu,B/Bambam/New Testament — Suha' Maseho Kadadiam anna Pa'dandiam Bakahu.pdf
B,Bamu,Portions,Tareka Buka,bcf,B/Bamu/Portions — Tareka Buka.pdf
B,Bangwinji,Portions,Bangwinji,bsj,B/Bangwinji/Portions — Bangwinji.pdf
B,Barai,New Testament,GODIDO VUA MAEJE,bbb,B/Barai/New Testament — GODIDO VUA MAEJE.pdf
B,Barasana-Eduria,New Testament,Dios oca gotirituti,bsnNT,B/Barasana-Eduria/New Testament — Dios oca gotirituti.pdf
B,"Bareli, Palya",Portions,भगवान ना खरला बोल,bpx,"B/Bareli, Palya/Portions — भगवान ना खरला बोल.pdf"
B,Bargam,New Testament,God Ago Maror Muturta Agamukan,mlp,B/Bargam/New Testament — God Ago Maror Muturta Agamukan.pdf
B,Bariai,New Testament,Deo Ele Posanga,bch,B/Bariai/New Testament — Deo Ele Posanga.pdf
B,Barok,New Testament,A Xuxubus Maxat,bjk,B/Barok/New Testament — A Xuxubus Maxat.pdf
B,Baruga,New Testament,God Da Gaga Reka Re,bjz,B/Baruga/New Testament — God Da Gaga Reka Re.pdf
B,Baruya,New Testament,Yipma Genesis and New Testament,byr,B/Baruya/New Testament — Yipma Genesis and New Testament.pdf
B,Basa-Gurmana,Portions,Basa-Gurmana,buj,B/Basa-Gurmana/Portions — Basa-Gurmana.pdf
B,Basque,Portions,Basque Navarro-Labourdin New Testament,basque,B/Basque/Portions — Basque Navarro-Labourdin New Testament.pdf
B,Beami,Full Bible,GODE EA SIA: IDA:IWANE GALA,beo,B/Beami/Full Bible — GODE EA SIA IDA IWANE GALA.pdf
B,Beaver,Portions,OOTECH OOCHU TAKEHNIYA TINKLES ST. MARK,bea,B/Beaver/Portions — OOTECH OOCHU TAKEHNIYA TINKLES ST. MARK.pdf
B,Bedjond,New Testament,KƗLӘ-MƗNDƗ KƗ SƗGƗ,bjvNT,B/Bedjond/New Testament — KƗLӘ-MƗNDƗ KƗ SƗGƗ.pdf
B,Bekwel,New Testament,Bekwel,bkw,B/Bekwel/New Testament — Bekwel.pdf
B,Belarusian,Full Bible,Біблія (пераклад А.Бокуна),bel,B/Belarusian/Full Bible — Біблія (пераклад А.Бокуна).pdf
B,Belize Kriol English,New Testament,Di Nyoo Testiment eena Bileez Kriol,bzj,B/Belize Kriol English/New Testament — Di Nyoo Testiment eena Bileez Kriol.pdf
B,Benabena,New Testament,Ka Lamana'a Mono'i Lu Mu Tifi'ehina Ka Yabe,bef,B/Benabena/New Testament — Ka Lamana'a Mono'i Lu Mu Tifi'ehina Ka Yabe.pdf
B,Bengali,Full Bible,Biblica® মুক্তভাবে বাংলা সমকালীন সংস্করণের,benobcv,B/Bengali/Full Bible — Biblica® মুক্তভাবে বাংলা সমকালীন সংস্করণের.pdf
B,Bengali,Full Bible,ইন্ডিয়ান রিভাইজড ভার্সন (IRV) - বেঙ্গলী,benirv,B/Bengali/Full Bible — ইন্ডিয়ান রিভাইজড ভার্সন (IRV) - বেঙ্গলী.pdf
B,Bhadrawahi,New Testament,भड्लाई बाइबिल,bhd,B/Bhadrawahi/New Testament — भड्लाई बाइबिल.pdf
B,Bhattiyali,New Testament,भटियाली नोआ नियम,bht,B/Bhattiyali/New Testament — भटियाली नोआ नियम.pdf
B,Bhilali,New Testament,भगवानेन छाचला बुल,bhi,B/Bhilali/New Testament — भगवानेन छाचला बुल.pdf
B,Bhunjia,New Testament,भगवान कर सच्चा बचन,bhu,B/Bhunjia/New Testament — भगवान कर सच्चा बचन.pdf
B,Biangai,New Testament,Anotogi Ngago Wik Yisu Kilisiyegi Langaira,big,B/Biangai/New Testament — Anotogi Ngago Wik Yisu Kilisiyegi Langaira.pdf
B,Biangai,New Testament,Biangai,big2013,B/Biangai/New Testament — Biangai.pdf
B,Bimin,New Testament,Sunbin-Got em Kitakamin Weng,bhl,B/Bimin/New Testament — Sunbin-Got em Kitakamin Weng.pdf
B,Binandere,Portions,God da Ge Wasiride,bhg,B/Binandere/Portions — God da Ge Wasiride.pdf
B,Bine,New Testament,Ireclota Mene,bon,B/Bine/New Testament — Ireclota Mene.pdf
B,Binukid,New Testament,Lalang hu Dios,bkd,B/Binukid/New Testament — Lalang hu Dios.pdf
B,Binumarien,New Testament,Fúka Moodaanaki Kira Ufa Afaqínaasa Ufa,bjr,B/Binumarien/New Testament — Fúka Moodaanaki Kira Ufa Afaqínaasa Ufa.pdf
B,"Blaan, Koronadal",New Testament,I Falami Kasafnè (New Testament),bpr,"B/Blaan, Koronadal/New Testament — I Falami Kasafnè (New Testament).pdf"
B,"Blaan, Sarangani",New Testament,I tnalù dwata,bps,"B/Blaan, Sarangani/New Testament — I tnalù dwata.pdf"
B,Blackfoot,Portions,ŎKHS' I TSĬN IK SĬN NI ST. MATTHEW OT SĬN AI PI.,bla,B/Blackfoot/Portions — ŎKHS' I TSĬN IK SĬN NI ST. MATTHEW OT SĬN AI PI.pdf
B,Blagar,Portions,Pura Alkitab,beu,B/Blagar/Portions — Pura Alkitab.pdf
B,Bo-Ung,New Testament,PULU YILI-NGA UNG KONALE,mux,B/Bo-Ung/New Testament — PULU YILI-NGA UNG KONALE.pdf
B,Bodo Parja,New Testament,ସଃର୍ଗାର୍‌ ବାଟ୍‌ ନଃଉଁଆ ନିଅମ୍‌,bdv,B/Bodo Parja/New Testament — ସଃର୍ଗାର୍‌ ବାଟ୍‌ ନଃଉଁଆ ନିଅମ୍‌.pdf
B,Boga,Portions,Boga New Testament Portion,bvw,B/Boga/Portions — Boga New Testament Portion.pdf
B,Boko,Full Bible,Bibeli Luayãtaalá,bqcsim,B/Boko/Full Bible — Bibeli Luayãtaalá.pdf
B,Bokobaru,New Testament,Luda yã takada kↄ̃n Bokobaru yão,bus,B/Bokobaru/New Testament — Luda yã takada kↄ̃n Bokobaru yão.pdf
B,Bola,New Testament,A Nitana Vure,bnp,B/Bola/New Testament — A Nitana Vure.pdf
B,Bolinao,New Testament,Si Biblia,smkNT,B/Bolinao/New Testament — Si Biblia.pdf
B,Bondei,Portions,Bondei Bible Version,bou,B/Bondei/Portions — Bondei Bible Version.pdf
B,"Bontok, Central",New Testament,Nan kalin Apo Dios,lbk,"B/Bontok, Central/New Testament — Nan kalin Apo Dios.pdf"
B,"Bontok, Eastern",New Testament,Nan kalen apo Dios (Nan fiarú ay turag),ebk,"B/Bontok, Eastern/New Testament — Nan kalen apo Dios (Nan fiarú ay turag).pdf"
B,Bora,New Testament,Píívyéébé ihjyu: jetsocríjyodítyú cáátúnuháámɨ,boaNT,B/Bora/New Testament — Píívyéébé ihjyu jetsocríjyodítyú cáátúnuháámɨ.pdf
B,Borei,New Testament,Raraŋ Aetaniacna Kam Wembaŋ Laŋ,gai,B/Borei/New Testament — Raraŋ Aetaniacna Kam Wembaŋ Laŋ.pdf
B,Borna,New Testament,Handr Taara,bwo,B/Borna/New Testament — Handr Taara.pdf
B,Borong,New Testament,Uumeleembaa Buŋa Tere Soomoŋgo Gbilia,ksr,B/Borong/New Testament — Uumeleembaa Buŋa Tere Soomoŋgo Gbilia.pdf
B,Breton,Portions,an Bibl,breBRG,B/Breton/Portions — an Bibl.pdf
B,Bribri,New Testament,Tte Pa̱'a̱li̱ Me' Skëköl tö Se' a̱,bzdNTpo,B/Bribri/New Testament — Tte Pa̱'a̱li̱ Me' Skëköl tö Se' a̱.pdf
B,Bu,New Testament,Bu New Testament,jid,B/Bu/New Testament — Bu New Testament.pdf
B,Bu (Bauchi State),Portions,Bu New Testament,zbu,B/Bu (Bauchi State)/Portions — Bu New Testament.pdf
B,Buamu,New Testament,Dónbeenì páaníi fĩnle vũahṹ,boxNT,B/Buamu/New Testament — Dónbeenì páaníi fĩnle vũahṹ.pdf
B,Buang,New Testament,Ġaġek Mewis,bzh,B/Buang/New Testament — Ġaġek Mewis.pdf
B,"Buang, Mangga",New Testament,Mangga Buang New Testament,mmo,"B/Buang, Mangga/New Testament — Mangga Buang New Testament.pdf"
B,Bughotu,New Testament,Na Rorongo Ke Toke Eigna a Jisas Krais,bgt,B/Bughotu/New Testament — Na Rorongo Ke Toke Eigna a Jisas Krais.pdf
B,Buglere,New Testament,Chube gerua jagere Jesucristo giti degaba kwian ulita alin: El Nuevo Testamento de nuestro Señor Jesucristo en el idioma buglere,sabNT,B/Buglere/New Testament — Chube gerua jagere Jesucristo giti degaba kwian ulita alin El Nuevo Testamento de nuestro Señor Jesucristo en el idioma .pdf
B,Bugun,New Testament,Iwo Surua Mua Wie Pha Bible,bgg,B/Bugun/New Testament — Iwo Surua Mua Wie Pha Bible.pdf
B,Buhutu,Portions,Buka Tabuna Tefadi,bxh,B/Buhutu/Portions — Buka Tabuna Tefadi.pdf
B,Bukawa,New Testament,Anötö ndê Yom Lêŋsêm Wakuc,buk,B/Bukawa/New Testament — Anötö ndê Yom Lêŋsêm Wakuc.pdf
B,Bukiyip,New Testament,God Ananin Balan,apeB,B/Bukiyip/New Testament — God Ananin Balan.pdf
B,Bukiyip,New Testament,IRUHIN ANANIN BARAEN,apec,B/Bukiyip/New Testament — IRUHIN ANANIN BARAEN.pdf
B,Bunama,New Testament,LOINA HAUHAUNA,bdd,B/Bunama/New Testament — LOINA HAUHAUNA.pdf
B,Burarra,New Testament,Nyanyapa Arrku Gun-nika Gun-molamola Janguny: Minypa Jesus Christ Guna-ganyja Arrburrwa Gun-geka Rum,bvr,B/Burarra/New Testament — Nyanyapa Arrku Gun-nika Gun-molamola Janguny Minypa Jesus Christ Guna-ganyja Arrburrwa Gun-geka Rum.pdf
